iter	Passed	Remaining
846	2215	400
847	2217	397
848	2220	394
849	2222	392
850	2225	389
851	2228	387
852	2233	384
853	2235	382
854	2237	379
855	2240	376
856	2243	374
857	2246	371
858	2248	369
859	2250	366
860	2253	363
861	2255	361
862	2257	358
863	2260	355
864	2263	353
865	2267	350
866	2280	349
867	2285	347
868	2289	345
869	2292	342
870	2295	339
871	2297	337
872	2300	334
873	2303	332
874	2305	329
875	2308	326
876	2311	324
877	2313	321
878	2315	318
879	2318	316
880	2321	313
881	2324	310
882	2326	308
883	2329	305
884	2331	302
885	2334	300
886	2337	297
887	2339	295
888	2341	292
889	2344	289
890	2346	287
891	2349	284
892	2351	281
893	2354	279
894	2356	276
895	2359	273
896	2362	271
897	2365	268
898	2367	265
899	2369	263
900	2372	260
901	2374	257
902	2376	255
903	2380	252
904	2382	250
905	2385	247
906	2388	244
907	2390	242
908	2393	239
909	2396	237
910	2399	234
911	2402	231
912	2405	229
913	2407	226
914	2409	223
915	2412	221
916	2414	218
917	2416	215
918	2418	213
919	2421	210
920	2424	207
921	2427	205
922	2429	202
923	2431	200
924	2433	197
925	2436	194
926	2437	191
927	2439	189
928	2442	186
929	2443	183
930	2446	181
931	2447	178
932	2450	175
933	2453	173
934	2455	170
935	2457	168
936	2460	165
937	2461	162
938	2463	160
939	2465	157
940	2467	154
941	2469	152
942	2470	149
943	2473	146
944	2475	144
945	2477	141
946	2478	138
947	2481	136
948	2482	133
949	2484	130
950	2486	128
951	2488	125
952	2490	122
953	2492	120
954	2494	117
955	2495	114
956	2497	112
957	2499	109
958	2501	106
959	2503	104
960	2506	101
961	2508	99
962	2511	96
963	2513	93
964	2515	91
965	2517	88
966	2519	85
967	2521	83
968	2523	80
969	2525	78
970	2527	75
971	2528	72
972	2530	70
973	2532	67
974	2534	64
975	2536	62
976	2538	59
977	2540	57
978	2541	54
979	2543	51
980	2545	49
981	2547	46
982	2548	44
983	2550	41
984	2553	38
985	2554	36
986	2556	33
987	2558	31
988	2560	28
989	2562	25
990	2564	23
991	2565	20
992	2568	18
993	2569	15
994	2571	12
995	2573	10
996	2575	7
997	2577	5
998	2579	2
999	2580	0
